video_title,view_count,like_count,comment_count,channel_name,subscriber_count
Washing Powder Test | Which One is Best ??? ഈ പരിക്കേഷണത്തിൽ ആര് ജയിക്കും | M4 Tech |,3369429,66819,2074,M4 Tech,13700000
Giant Arapaima Grilled | ലക്ഷങ്ങളുടെ മീൻ ചുട്ട് തിന്നപ്പോൾ | M4 Tech |,6171117,119703,1641,M4 Tech,13700000
തേങ്ങാ പൊതിക്കാൻ യന്ത്രം ഉണ്ടാക്കിയപ്പോൾ | അതുണ്ടെങ്കിൽ തേങ്ങാ പൊതിക്കാൻ എളുപ്പം | M4 Tech |,1387295,37853,938,M4 Tech,13700000
എന്നെ കളിയാക്കിയവർക്കുള്ള മറുപടി | നൂലപ്പം ഉണ്ടാകുന്ന യന്ത്രം | M4 Tech |,3890595,104359,2590,M4 Tech,13700000
50 Kg + Tuna Fish ThavaFry | ഇത്രക്ക് വലിയ മീനെ പൊരിച്ചുകഴിച്ചാലോ | M4 Tech |,4192167,81658,1493,M4 Tech,13700000
Boys Dropped In Dry Ice Pool | ഈ കുളത്തിൽ കിടന്നാൽ തണുത്ത് മരിക്കും | M4 Tech |,1269367,31411,582,M4 Tech,13700000
Homemade Donut Making Recipe | ഇനി ഡോണട്ട് വീട്ടിൽ തന്നെ ഉണ്ടാകാം | M4 Tech |,4020726,69818,1172,M4 Tech,13700000
Solar Powered Auto Rickshaw | സൂര്യ പ്രകാശം ഉണ്ടെങ്കിൽ ഈ വണ്ടി ഓടും | M4 Tech |,2051234,49464,928,M4 Tech,13700000
Whole Beef Omelette Making | പോത്ത് ഇറച്ചി ഓംലെറ്റ് ഉണ്ടാക്കിയാലോ  | M4 Tech |,2400799,69714,1720,M4 Tech,13700000
Biggest Dream Cake On Nabi Dhinam | നമ്മൾ വലിയ ഡ്രീം കേക്ക് ഉണ്ടാക്കിയപ്പോൾ | M4 Tech |,5787249,139814,2709,M4 Tech,13700000
Toy Train With Barrel | ബാരൽ കൊണ്ടൊരു ട്രെയിൻ | M4 Tech |,3867319,77453,1782,M4 Tech,13700000
Robot Crocodile Public Reaction | മുതല തല ആളുകൾ പേടിച്ചപ്പോൾ | M4 Tech |,2917634,69267,1100,M4 Tech,13700000
Wheel Colour Changing Cycle With Remote Control | നിറം മാറുന്ന സൈക്കിൾ വീൽ | M4 Tech |,1536593,43724,990,M4 Tech,13700000
നമ്മൾ പുലിക്കളിക്ക് ഇറങ്ങിയപ്പോൾ  | Thrissur Pulikali My Dream | M4 Tech |,4024803,45316,823,M4 Tech,13700000
Full Goat Butterfly Grill | ആട് പൊള്ളിച്ചത് | M4 Tech |,1006808,46077,886,M4 Tech,13700000
ചക്രം കറക്കി ഓണാഘോഷം സമ്മാന പെരുമഴ | Onam Spin Wheel Game | M4 Tech |,1310384,41018,860,M4 Tech,13700000
കുഞ്ഞൂട്ടന്റെ രോദനം | Kunjootan Oxygen Onam #shorts,4272454,155407,344,M4 Tech,13700000
Dr Fixit Bitufix: Don't Suffer from Damp Walls Later! Do This for Waterproofing Your New Home Now,1291955,40822,801,M4 Tech,13700000
Forest Tent Camping Life Hack | കാടിന്റെ നടുക്ക് ഇങ്ങനെ ഒരു ടെന്റ് | M4 Tech |,3640729,73471,1430,M4 Tech,13700000
ഡ്രമ്മുകൊണ്ട് പത്തുപേർക്ക് ചങ്ങാടം | Water Drum Boat Making | M4 Tech |,566494,28430,691,M4 Tech,13700000
Gym Ball Floating Cart | വെള്ളത്തിലെ പറക്കും തളിക | M4 Tech |,2324278,55060,1258,M4 Tech,13700000
One Day In M4 Tech Floating Island | ദ്വീപിൽ ഒരു പകൽ | M4 Tech |,3263513,60310,974,M4 Tech,13700000
